CSV-Export;Version, 1,01;Separator, Semicolon

;SENS0700;SENS0700;SENS0700;SENS0700;SENS0700;SENS0700
;15751;15751;15751;15751;15751;15751
TimeStamp;ExlSolIrr;IntSolIrr;SMA-h-On;TmpAmb C;TmpMdul C;WindVel m/s
hh,mm;W/m^2;W/m^2;h;°C;°C;m/s
16,50;0;18,36;1061,01;-273,17;24,66;0
16,55;0;12,92;1061,09;-273,17;24,42;0
17,00;0;11,44;1061,17;-273,17;24,28;0
17,05;0;10,31;1061,25;-273,17;24,18;0
17,10;0;8,78;1061,34;-273,17;24,11;0
17,15;0;5,78;1061,42;-273,17;24,02;0
17,20;0;3,18;1061,5;-273,17;23,89;0
17,25;0;1,95;1061,58;-273,17;23,76;0
17,30;0;1,03;1061,67;-273,17;23,59;0
17,35;0;1;1061,75;-273,17;23,39;0
17,40;0;1;1061,83;-273,17;23,25;0
17,45;0;0,99;1061,92;-273,17;23,26;0
17,50;0;0,88;1062;-273,17;23,38;0
17,55;0;0,74;1062,08;-273,17;23,43;0
18,00;0;0,72;1062,16;-273,17;23,51;0
18,05;0;0,58;1062,25;-273,17;23,53;0
18,10;0;0,65;1062,33;-273,17;23,53;0
18,15;0;0,91;1062,41;-273,17;23,53;0
18,20;0;0,9;1062,49;-273,17;23,61;0
18,25;0;0,82;1062,58;-273,17;23,62;0
18,30;0;0,99;1062,66;-273,17;23,53;0
18,35;0;0,43;1062,74;-273,17;23,49;0
18,40;0;0,67;1062,82;-273,17;23,24;0
18,45;0;0,29;1062,91;-273,17;22,96;0
18,50;0;0,28;1062,99;-273,17;22,84;0
18,55;0;0,73;1063,07;-273,17;22,83;0
19,00;0;0,85;1063,15;-273,17;22,82;0
19,05;0;0,35;1063,24;-273,17;22,9;0
19,10;0;0,09;1063,32;-273,17;23,06;0
19,15;0;0,22;1063,4;-273,17;23,13;0
19,20;0;0,02;1063,49;-273,17;23,17;0
19,25;0;0,3;1063,57;-273,17;23,28;0
19,30;0;0;1063,65;-273,17;23,37;0
19,35;0;0,27;1063,73;-273,17;23,43;0
19,40;0;0,13;1063,82;-273,17;23,43;0
19,45;0;0,05;1063,9;-273,17;23,43;0
19,50;0;0,22;1063,98;-273,17;23,47;0
19,55;0;0,29;1064,06;-273,17;23,53;0
20,00;0;0,31;1064,15;-273,17;23,62;0
20,05;0;0,09;1064,23;-273,17;23,73;0
20,10;0;0,1;1064,31;-273,17;23,81;0
20,15;0;0,05;1064,4;-273,17;23,83;0
20,20;0;0,22;1064,48;-273,17;23,83;0
20,25;0;0,2;1064,56;-273,17;23,83;0
20,30;0;0,5;1064,64;-273,17;23,83;0
20,35;0;0,16;1064,73;-273,17;23,91;0
20,40;0;0,48;1064,81;-273,17;23,93;0
20,45;0;0,67;1064,89;-273,17;23,93;0
20,50;0;0,79;1064,97;-273,17;23,93;0
20,55;0;0,83;1065,06;-273,17;23,89;0
21,00;0;0,35;1065,14;-273,17;23,81;0
21,05;0;0,66;1065,22;-273,17;23,73;0
21,10;0;0,16;1065,3;-273,17;23,73;0
21,15;0;0,11;1065,39;-273,17;23,73;0
21,20;0;0;1065,47;-273,17;23,72;0
21,25;0;0,13;1065,55;-273,17;23,58;0
21,30;0;0,15;1065,64;-273,17;23,5;0
21,35;0;0,18;1065,72;-273,17;23,43;0
21,40;0;0,13;1065,8;-273,17;23,51;0
21,45;0;0,18;1065,88;-273,17;23,6;0
21,50;0;0,2;1065,97;-273,17;23,63;0
21,55;0;0,3;1066,05;-273,17;23,62;0
22,00;0;0,28;1066,13;-273,17;23,63;0
22,05;0;0,39;1066,21;-273,17;23,61;0
22,10;0;0,42;1066,3;-273,17;23,44;0
22,15;0;0,32;1066,38;-273,17;23,33;0
22,20;0;0,21;1066,46;-273,17;23,33;0
22,25;0;0,26;1066,55;-273,17;23,11;0
22,30;0;0,48;1066,63;-273,17;22,82;0
22,35;0;0,36;1066,71;-273,17;22,7;0
22,40;0;0,84;1066,79;-273,17;22,68;0
22,45;0;0,6;1066,88;-273,17;22,64;0
22,50;0;0,54;1066,96;-273,17;22,85;0
22,55;0;0,49;1067,04;-273,17;22,93;0
23,00;0;0,83;1067,12;-273,17;23;0
23,05;0;0,93;1067,21;-273,17;23,16;0
23,10;0;0,54;1067,29;-273,17;23,27;0
23,15;0;0,12;1067,37;-273,17;23,33;0
23,20;0;0,97;1067,45;-273,17;23,39;0
23,25;0;0,72;1067,54;-273,17;23,43;0
23,30;0;0,86;1067,62;-273,17;23,43;0
23,35;0;0,98;1067,7;-273,17;23,3;0
23,40;0;0,72;1067,79;-273,17;23,23;0
23,45;0;0,77;1067,87;-273,17;23,23;0
